Order,Family,Name,Scientific name,Size (cm),Cavity nester type,Reference ,Obligate or Facultative,Occasional,Excavated,Decay-formed,Excavator species,Status,Nearctic,Palearctic,Neotropical,Afrotropical,Oriental,Australasia
Caprimulgiformes,Apodidae (Swifts),Mottled Spinetail,Telacanthura ussheri,14,Non-excavator,10,Facultative,,,X,,Not Globally Threatened,,,,1,,
Caprimulgiformes,Apodidae (Swifts),Black Spinetail,Telacanthura melanopygia,15–17,Non-excavator,10,Unknown,,,X,,Not globally threatened,,,,1,,
Caprimulgiformes,Apodidae (Swifts),Madagascar Spinetail,Zoonavena grandidieri,12,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,1,,
Caprimulgiformes,Apodidae (Swifts),Sao Tome Spinetail,Zoonavena thomensis,10,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,1,,
Caprimulgiformes,Apodidae (Swifts),Silver-rumped Spinetail,Rhaphidura leucopygialis,11,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,1,
Caprimulgiformes,Apodidae (Swifts),Common Swift,Apus apus,16–18,Non-excavator,10; 47,Facultative,,X,X,Picidae (Dendrocopos major),Not globally threatened,,1,,,1,
Caprimulgiformes,Apodidae (Swifts),Chimney Swift,Chaetura pelagica,12–14,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus pileatus),Not globally threatened,1,,,,,
Caprimulgiformes,Apodidae (Swifts),Southern Swift,Chaetura meridionalis,11.5–13.5,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Caprimulgiformes,Apodidae (Swifts),Vaux's Swift,Chaetura vauxi,12–13.5,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus pileatus),Not globally threatened,1,,1,,,
Caprimulgiformes,Apodidae (Swifts),Band-rumped Swift,Chaetura spinicaudus,10.5–12.6,Non-excavator,10,facultative,,,X,,Not globally threatened,,,1,,,
Caprimulgiformes,Apodidae (Swifts),Purple Needletail ,Hirundapus celebensis,25,Non-excavator,Inferred,Unknown,,,X,,Not globally threatened,,,,,1,
Caprimulgiformes,Apodidae (Swifts),Silver-backed Needletail,Hirundapus cochinchinensis,20,Non-excavator,Inferred,Unknown,,,X,,Not globally threatened,,,,,1,
