order,family,sci,com,code,primary,secondary,tree,feral,neil_classification,hallie_classification,notes
NA,NA,Polioptila albiventris,Yucatan Gnatcatcher,whlgna3,NA,NA,NA,,omit,,
NA,NA,Selasphorus ellioti,Wine-throated Hummingbird,withum1,NA,NA,NA,,omit,,
NA,NA,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,wooscj2,NA,NA,NA,,omit,,
NA,NA,Cyanocorax formosus,White-throated Magpie-Jay,wtmjay1,NA,NA,NA,,omit,,
NA,NA,Carduelis carduelis/caniceps,European/Gray-crowned Goldfinch,y01288,NA,NA,NA,,omit,,
NA,NA,Sula leucogaster/brewsteri,Brown/Cocos Booby,y01312,NA,NA,NA,,omit,,
Passeriformes,Parulidae,Geothlypis flavovelata,Altamira Yellowthroat,altyel1,NA,NA,NA,,omit,,
Passeriformes,Certhiidae,Certhia americana,Brown Creeper,brncre,0,1,1,,omit,,"nests behind bark, not really in cavities"
Passeriformes,Fringillidae,Haemorhous mexicanus,House Finch,houfin,0,1,1,,omit,,
Passeriformes,Hirundinidae,Stelgidopteryx serripennis,Northern Rough-winged Swallow,nrwswa,1,1,1,,omit,,"believe these mostly nest in burrows in banks, not in tree cavities"
Passeriformes,Icteridae,Euphagus cyanocephalus,Brewer's Blackbird,brebla,0,1,1,,omit,,wild error?
Passeriformes,Icteridae,Quiscalus quiscula,Common Grackle,comgra,0,1,1,,omit,,
Passeriformes,Mimidae,Mimus polyglottos,Northern Mockingbird,normoc,0,1,1,,omit,,
Passeriformes,Paridae,Parus major,Great Tit,gretit1,0,1,1,1,omit,,"is a cavity nester, but omit bc this is based off a tiny feral population in Wi"
Passeriformes,Parulidae,Setophaga virens,Black-throated Green Warbler,btnwar,0,1,1,,omit,,weird???
Passeriformes,Parulidae,Parkesia motacilla,Louisiana Waterthrush,louwat,0,1,1,,omit,,
Passeriformes,Parulidae,Parkesia noveboracensis,Northern Waterthrush,norwat,0,1,1,,omit,,
Passeriformes,Passerellidae,Junco hyemalis,Dark-eyed Junco,daejun,0,1,1,,omit,,
Passeriformes,Phylloscopidae,Phylloscopus borealis,Arctic Warbler,arcwar1,0,1,1,,omit,,
Passeriformes,Sturnidae,Acridotheres tristis,Common Myna,commyn,0,1,1,1,omit,,invasive with very limited range
Passeriformes,Turdidae,Turdus grayi,Clay-colored Thrush,clcrob,0,1,1,,omit,,no way this is a cavity nester??
Passeriformes,Turdidae,Catharus guttatus,Hermit Thrush,herthr,0,1,1,,omit,,
Passeriformes,Turdidae,Myadestes townsendi,Townsend's Solitaire,towsol,0,1,1,,omit,,
Passeriformes,Turdidae,Catharus fuscescens,Veery,veery,0,1,1,,omit,,
Passeriformes,Tyrannidae,Empidonax difficilis,Western Flycatcher,wesfly,0,1,1,,omit,,
